Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.11665E-4,21.500485175,0.350223382,0.301435407,0.09375,0.1
1.12581E-4,21.75840995,0.352084682,0.299142743,0.09375,0.1
1.13188E-4,22.006697626,0.353312482,0.296949761,0.09375,0.1
1.13691E-4,22.256308216,0.35432775,0.294756778,0.09375,0.1
1.14779E-4,22.507771113,0.356509046,0.292563796,0.09375,0.1
1.15555E-4,22.761203636,0.358055752,0.290370813,0.09375,0.1
1.16153E-4,23.004399674,0.359244386,0.288277512,0.09375,0.1
1.1687E-4,23.260745238,0.360660921,0.28608453,0.09375,0.1
1.17824E-4,23.507467922,0.36253887,0.283991228,0.09375,0.1
1.18511E-4,23.755725947,0.363883445,0.281897927,0.09375,0.1
1.19264E-4,24.00536202,0.365350409,0.279804625,0.09375,0.1
1.19908E-4,24.256564247,0.366599956,0.277711324,0.09375,0.1
1.20708E-4,24.509208087,0.368144997,0.275618022,0.09375,0.1
1.21283E-4,24.751181416,0.369251379,0.273624402,0.09375,0.1
1.22167E-4,25.006598423,0.370944347,0.2715311,0.09375,0.1
1.23065E-4,25.251856461,0.372654516,0.26953748,0.09375,0.1
1.23806E-4,25.511126433,0.374060227,0.267444179,0.09375,0.1
1.24344E-4,25.759286042,0.375075949,0.265450558,0.09375,0.1
1.25287E-4,26.008828297,0.376847478,0.263456938,0.15625,0.1
1.26196E-4,26.26032116,0.378546261,0.261463317,0.15625,0.1
1.27185E-4,26.501165023,0.38038556,0.259569378,0.15625,0.1
1.28213E-4,26.756638076,0.382283778,0.257575758,0.15625,0.1
1.28964E-4,27.00093456,0.383663687,0.255681818,0.15625,0.1
1.29819E-4,27.259638045,0.385228084,0.253688198,0.15625,0.1
1.30723E-4,27.507044383,0.386873409,0.251794258,0.15625,0.1
1.31972E-4,27.75670712,0.38913068,0.249900319,0.15625,0.1
1.33054E-4,28.008532965,0.391073739,0.24800638,0.15625,0.1
1.33859E-4,28.262209056,0.392511182,0.24611244,0.15625,0.1
1.3492E-4,28.504181502,0.394394322,0.244318182,0.1875,0.1
1.35799E-4,28.761635874,0.395946236,0.242424242,0.1875,0.1
1.36294E-4,29.006598542,0.396818164,0.240629984,0.1875,0.1
1.37232E-4,29.252665631,0.398459663,0.238835726,0.1875,0.1
1.38228E-4,29.500609057,0.400195296,0.237041467,0.1875,0.1
1.39234E-4,29.750215556,0.401936558,0.235247209,0.1875,0.1
1.39949E-4,30.001499964,0.403169301,0.233452951,0.1875,0.1
1.41084E-4,30.254354737,0.405113283,0.231658692,0.1875,0.1
1.42522E-4,30.50978545,0.407559879,0.229864434,0.1875,0.1
1.43344E-4,30.752948282,0.40894966,0.228169856,0.1875,0.1
1.44552E-4,31.011952649,0.410978887,0.226375598,0.1875,0.1
1.45374E-4,31.258532122,0.41235325,0.224681021,0.1875,0.1
1.46335E-4,31.506526968,0.413949912,0.222986443,0.1875,0.1
